root,1,62,95350
cellular organisms,131567,0,95288
Bacteria,2,2300,95288
Terrabacteria group,1783272,0,93316
Firmicutes,1239,0,25774
Bacilli,91061,2373,25761
Bacillales,1385,0,3600
Staphylococcaceae,90964,0,3499
Staphylococcus,1279,0,3499
Staphylococcus epidermidis,1282,1955,1955
Lactobacillales,186826,0,22001
Enterococcaceae,81852,0,21993
Enterococcus,1350,0,21683
Enterococcus faecalis,1351,21433,21433
Actinobacteria,201174,0,67515
Actinobacteria,1760,0,67515
Bifidobacteriales,85004,0,67227
Bifidobacteriaceae,31953,0,67227
Bifidobacterium,1678,4096,67227
Bifidobacterium bifidum,1681,11053,11053
Bifidobacterium breve,1685,52078,52078
